nome_normalizado;nome_exemplo;quantidade_cadastros;quantidade_contextos;quantidade_geometrias_validas;quantidade_geometrias_unicas;quantidade_geometrias_compartilhadas;distancia_maxima_entre_centros_m;extensao_maxima_da_geometria_m;status;ids;bairros;ceps;distritos
CASIMIRO DE ABREU;RUA CASIMIRO DE ABREU;2;2;2;1;2;0.0;4163.0;geometria_compartilhada_contextos_distintos;1474,1872;Parque Guarus,Parque Vicente Gonçalves Dias;28070550,28080240;617,621
BARTOLOMEU LIZANDRO;RUA BARTOLOMEU LIZANDRO;2;2;2;1;2;0.0;456.8;geometria_compartilhada_contextos_distintos;1538,1934;Parque São Mateus;28060216,28073165;618,621
PROJETADA B;RUA PROJETADA B;4;4;4;1;4;0.0;11744.6;geometria_compartilhada_contextos_distintos;1563,1595,2049,2073;Custodópolis,Parque Calabouço,Parque Céu Azul,Parque São Domingos;28080782,28083670,28085635,28085665;618,622,623
WILSON BATISTA;AVENIDA WILSON BATISTA;2;2;2;1;2;0.0;1801.2;geometria_compartilhada_contextos_distintos;1618,1714;Parque Aldeia;28060555,28060560;619
B;RUA B;4;4;4;1;4;0.0;31746.6;geometria_compartilhada_contextos_distintos;1631,1726,1728,1977;Codim,Parque Ceasa,Parque Céu Azul,Parque Prazeres;28083770,28085740,28090040,28090540;619,620,622
FORTALEZA;RUA FORTALEZA;2;2;2;1;2;0.0;152.2;geometria_compartilhada_contextos_distintos;1644,2006;Parque Boa Vista,Parque Cidade Luz;28060810,28073565;619,622
JOSE FERNANDES REIS;RUA JOSÉ FERNANDES REIS;2;2;2;1;2;0.0;1255.6;geometria_compartilhada_contextos_distintos;1651,1653;Parque Prazeres,São Jorge;28080145,28080169;619
K;RUA K;2;2;2;1;2;0.0;13464.7;geometria_compartilhada_contextos_distintos;1657,1659;Parque Prazeres,São Jorge;28080168,28080745;619
L;RUA L;3;3;3;1;3;0.0;9017.0;geometria_compartilhada_contextos_distintos;1661,1776,2031;Codim,Parque Céu Azul,Parque Prazeres;28080750,28083800,28090490;619,620,622
ITABORAI;RUA ITABORAÍ;2;2;2;1;2;0.0;394.9;geometria_compartilhada_contextos_distintos;1747,1819;Parque Guarus;28070496,28070497;620
F;RUA F;2;2;2;1;2;0.0;57135.9;geometria_compartilhada_contextos_distintos;1750,1752;Codim,Parque Eldorado;28090570,28090740;620
J;RUA J;3;3;3;1;3;0.0;14196.8;geometria_compartilhada_contextos_distintos;1759,1760,2019;Codim,Parque Aldeia,Parque Presidente Vargas;28060515,28083462,28090610;620,622
M;RUA M;2;2;2;1;2;0.0;27661.0;geometria_compartilhada_contextos_distintos;1780,2033;Codim,Parque Céu Azul;28083810,28090500;620,622
MUSSUREPE;RUA MUSSUREPE;2;2;2;1;2;0.0;400.9;geometria_compartilhada_contextos_distintos;1783,1824;Parque Visconde de Ururaí;28070385,28070387;620
N;RUA N;2;2;2;1;2;0.0;12604.2;geometria_compartilhada_contextos_distintos;1790,2037;Codim,Parque Céu Azul;28083820,28090620;620,622
SANTO EDUARDO;RUA SANTO EDUARDO;2;2;2;1;2;0.0;465.5;geometria_compartilhada_contextos_distintos;1805,1825;Parque Visconde de Ururaí;28070245,28070246;620
SANTA ROSA;AVENIDA SANTA ROSA;2;2;2;1;2;0.0;21951.7;geometria_compartilhada_contextos_distintos;1829,1831;Custodópolis,Parque Santa Clara;28085030,28085500;621
ALMIRANTE ARY PARREIRAS;RUA ALMIRANTE ARY PARREIRAS;2;2;2;1;2;0.0;98.2;geometria_compartilhada_contextos_distintos;1858,1932;Parque São Mateus;28073170,28073235;621
ANGRA DOS REIS;RUA ANGRA DOS REIS;2;2;2;1;2;0.0;128.2;geometria_compartilhada_contextos_distintos;1860,2207;KILOMETRO 14,Parque Guarus;28073050,28145090;621,624
MARQUES DE VALENCA;RUA MARQUÊS DE VALENÇA;2;2;2;1;2;0.0;522.0;geometria_compartilhada_contextos_distintos;1900,1902;Parque Guarus,Parque São Mateus;28073120,28073185;621
BORGES;TRAVESSA BORGES;2;2;2;1;2;0.0;131.0;geometria_compartilhada_contextos_distintos;1936,1938;Parque Guarus,Parque São Mateus;28070660,28073155;621
ZUZA MOTA;AVENIDA ZUZA MOTA;3;3;3;1;3;0.0;2132.6;geometria_compartilhada_contextos_distintos;1953,1955,1957;Parque Alvorada,Parque Calabouço,Parque Presidente Vargas;28083000,28083461,28083735;622
MURILO PEIXOTO;RUA MURILO PEIXOTO;2;2;2;1;2;0.0;1708.0;geometria_compartilhada_contextos_distintos;2068,2080;Parque Eldorado,Parque São Silvestre;28090200,28090510;623
HUMBERTO ALVARO DE GUSMAO TRAVESSAO;RUA HUMBERTO ÁLVARO DE GUSMÃO - TRAVESSÃO;2;2;2;1;2;0.0;415.9;geometria_compartilhada_contextos_distintos;2113,2138;TRAVESSÃO;28145240,28145565;623
SARDINHA;AVENIDA SARDINHA;2;2;2;1;2;0.0;150.5;geometria_compartilhada_contextos_distintos;2147,2201;Parque Bonsucesso,Parque Novo Mundo;28085125,28085505;624
TRES;AVENIDA TRÊS;3;3;2;2;0;9911.7;3164.8;geometrias_distantes_mesmo_nome;1951,2042,2059;Parque Boa Vista,Parque Presidente Vargas;28073530,28083333,28083775;622
QUATORZE;RUA QUATORZE;2;2;2;2;0;3731.0;147.0;geometrias_distantes_mesmo_nome;732,887;Alphaville,Parque Penha;28021690,28024726;610,611
SAPUCAINHA;RUA SAPUCAINHA;2;2;2;2;0;637.9;1122.9;geometrias_distantes_mesmo_nome;1812,1822;Parque São Silvestre,Vila Industrial;28090012,28090525;620
NOSSA SENHORA DA CONCEICAO TRAVESSAO;PRAÇA NOSSA SENHORA DA CONCEIÇÃO - TRAVESSÃO;2;2;2;2;0;487.8;348.1;nome_repetido_revisar;2084,2127;TRAVESSÃO;28145020,28145360;623
CAMPOS VITORIA LADO PAR;RODOVIA CAMPOS-VITÓRIA - LADO PAR;2;2;2;2;0;103.3;4133.8;nome_repetido_revisar;1972,1974;Parque Boa Vista,Parque Santos Dumont;28073476,28073706;622
CAMPOS VITORIA LADO IMPAR;RODOVIA CAMPOS-VITÓRIA - LADO ÍMPAR;2;2;2;2;0;94.4;4824.0;nome_repetido_revisar;1976,1978;Parque Boa Vista,Parque Santos Dumont;28073475,28073705;622
MELVIN JONES;PRAÇA MELVIN JONES;2;2;2;2;0;29.8;181.3;nome_repetido_revisar;969,974;Parque Rosário;28027340,28027535;612
MARIA DA PENHA TAVARES;RUA MARIA DA PENHA TAVARES;2;2;2;2;0;1.0;80.1;nome_repetido_revisar;1492,1517;Parque Vicente Gonçalves Dias;28080199,28080785;617
MANOEL DE SOUZA;RUA MANOEL DE SOUZA;2;2;0;0;0;0.0;0.0;nome_repetido_revisar;1489,1511;Jardim Carioca,Parque Jardim Carioca;28080320,28080800;617
