nome_base_normalizado;nomes_cadastrados;quantidade_cadastros;quantidade_contextos;status;ids;bairros;ceps;distritos
MARECHAL FLORIANO;RUA MARECHAL FLORIANO - ATÉ 136 - LADO PAR | RUA MARECHAL FLORIANO - ATÉ 153 - LADO ÍMPAR | RUA MARECHAL FLORIANO - DE 138 AO FIM - LADO PAR | RUA MARECHAL FLORIANO - DE 155 AO FIM - LADO ÍMPAR;4;4;ambiguidade_por_contexto;53,54,55,56;Centro;28010161,28010162,28010166,28010167;602
MARIA DA PENHA TAVARES;RUA MARIA DA PENHA TAVARES | TRAVESSA MARIA DA PENHA TAVARES;2;2;ambiguidade_por_contexto;1492,1517;Parque Vicente Gonçalves Dias;28080199,28080785;617
MARIA TAVARES DE ALVARENGA;RUA MARIA TAVARES DE ALVARENGA | TRAVESSA MARIA TAVARES DE ALVARENGA;2;2;ambiguidade_por_contexto;424,425;Goytacazes;28023706,28023707;607
MARQUES DE VALENCA;RUA MARQUÊS DE VALENÇA;2;2;ambiguidade_por_contexto;1900,1902;Parque Guarus,Parque São Mateus;28073120,28073185;621
MELVIN JONES;PRAÇA MELVIN JONES | RUA MELVIN JONES;2;2;ambiguidade_por_contexto;969,974;Parque Rosário;28027340,28027535;612
MORRO DO COCO;RUA MORRO DO COCO - ATÉ 125 - LADO ÍMPAR | RUA MORRO DO COCO - ATÉ 84 - LADO PAR | RUA MORRO DO COCO - DE 127 AO FIM - LADO ÍMPAR | RUA MORRO DO COCO - DE 86 AO FIM - LADO PAR | TRAVESSA MORRO DO COCO;5;5;ambiguidade_por_contexto;1771,1773,1775,1777,1823;Parque Visconde de Ururaí;28060411,28060412,28070235,28070237,28070238;620
MURILO PEIXOTO;RUA MURILO PEIXOTO | TRAVESSA MURILO PEIXOTO;2;2;ambiguidade_por_contexto;2068,2080;Parque Eldorado,Parque São Silvestre;28090200,28090510;623
MUSSUREPE;RUA MUSSUREPE | TRAVESSA MUSSUREPE;2;2;ambiguidade_por_contexto;1783,1824;Parque Visconde de Ururaí;28070385,28070387;620
N;RUA N;2;2;ambiguidade_por_contexto;1790,2037;Codim,Parque Céu Azul;28083820,28090620;620,622
NAZARIO PEREIRA GOMES;RUA NAZÁRIO PEREIRA GOMES - ATÉ 213/214 | RUA NAZÁRIO PEREIRA GOMES - DE 215/216 A 439/440 | RUA NAZÁRIO PEREIRA GOMES - DE 441/442 AO FIM;3;3;ambiguidade_por_contexto;1582,1584,1676;Parque Fundão,Parque Guarus,Parque Vera Cruz;28060202,28060204,28070205;618,619
NOSSA SENHORA DA CONCEICAO;PRAÇA NOSSA SENHORA DA CONCEIÇÃO | RUA NOSSA SENHORA DA CONCEIÇÃO;2;2;ambiguidade_por_contexto;1047,1835;Parque Santa Rosa,Parque Turf Club;28027260,28085490;613,621
NOSSA SENHORA DA CONCEICAO TRAVESSAO;PRAÇA NOSSA SENHORA DA CONCEIÇÃO - TRAVESSÃO | RUA NOSSA SENHORA DA CONCEIÇÃO - TRAVESSÃO;2;2;ambiguidade_por_contexto;2084,2127;TRAVESSÃO;28145020,28145360;623
